eventIndex,eventId,title,chronology,summary,locations,people,likelyImageSubjects,recommendedTrustedDomains,suggestedSearchQueries,discoveryStatus,historicalVerificationSources,imageCandidate1,imageCandidate2,unresolvedReason,mojibakeSuspected
62,phap-xam-chiem-dong-duong,Pháp xâm chiếm ba nước Đông Dương,1858-1893,Thực dân Pháp phải trải qua cuộc chiến tranh xâm lược kéo dài gần nửa thế kỉ (1858-1893) mới hoàn thành việc xâm chiếm ba nước Đông Dương.,"[""Việt Nam"", ""Đông Dương""]",[],"[""Pháp xâm chiếm ba nước Đông Dương"", ""Pháp xâm chiếm ba nước Đông Dương 1858-1893"", ""Pháp xâm chiếm ba nước Đông Dương Việt Nam"", ""Pháp xâm chiếm ba nước Đông Dương Thời gian: 1858-1893 Chủ thể: Pháp"", ""Pháp xâm chiếm ba nước Đông Dương ảnh tư liệu"", ""Pháp xâm chiếm ba nước Đông Dương chân dung""]","[""baotanglichsu.vn"", ""luutru.gov.vn"", ""hochiminh.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""gallica.bnf.fr"", ""loc.gov""]","[""Pháp xâm chiếm ba nước Đông Dương"", ""Pháp xâm chiếm ba nước Đông Dương 1858-1893"", ""Pháp xâm chiếm ba nước Đông Dương Việt Nam"", ""Pháp xâm chiếm ba nước Đông Dương Thời gian: 1858-1893 Chủ thể: Pháp"", ""Pháp xâm chiếm ba nước Đông Dương ảnh tư liệu"", ""Pháp xâm chiếm ba nước Đông Dương chân dung""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
63,phong-trao-chong-thuc-dan-phap-xam-luoc-o-viet-nam,Phong trào chống thực dân Pháp xâm lược ở Việt Nam,1858 - khoảng 1884,"Từ năm 1858, khi thực dân Pháp nổ súng tấn công Đà Nẵng, cuộc chiến đấu chống xâm lược của nhân dân Việt Nam đã làm thất bại kế hoạch “đánh nhanh, thắng nhanh” của chúng. Cuộc chiến đấu lan rộng ra các tỉnh Nam Kì và Bắc Kì, thu hút sự tham gia của đông đảo các tầng lớp nhân dân. Thực dân Pháp phải mất 26 năm mới áp đặt được ách đô hộ trên toàn bộ đất nước Việt Nam.","[""Việt Nam""]",[],"[""Phong trào chống thực dân Pháp xâm lược ở Việt Nam"", ""Phong trào chống thực dân Pháp xâm lược ở Việt Nam 1858 - khoảng 1884"", ""Phong trào chống thực dân Pháp xâm lược ở Việt Nam Việt Nam"", ""Phong trào chống thực dân Pháp xâm lược ở Việt Nam Lan rộng ra các tỉnh Nam Kì và Bắc Kì Bắt đầu từ năm 1858 khi Pháp tấn công Đà Nẵng"", ""Phong trào chống thực dân Pháp xâm lược ở Việt Nam ảnh tư liệu"", ""Phong trào chống thực dân Pháp xâm lược ở Việt Nam chân dung""]","[""baotanglichsu.vn"", ""luutru.gov.vn"", ""hochiminh.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""gallica.bnf.fr"", ""loc.gov""]","[""Phong trào chống thực dân Pháp xâm lược ở Việt Nam"", ""Phong trào chống thực dân Pháp xâm lược ở Việt Nam 1858 - khoảng 1884"", ""Phong trào chống thực dân Pháp xâm lược ở Việt Nam Việt Nam"", ""Phong trào chống thực dân Pháp xâm lược ở Việt Nam Lan rộng ra các tỉnh Nam Kì và Bắc Kì Bắt đầu từ năm 1858 khi Pháp tấn công Đà Nẵng"", ""Phong trào chống thực dân Pháp xâm lược ở Việt Nam ảnh tư liệu"", ""Phong trào chống thực dân Pháp xâm lược ở Việt Nam chân dung""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
64,khoi-nghia-cua-pu-com-bo,Khởi nghĩa của Pu-côm-bô,1866-1867,"Cuộc khởi nghĩa của Pu-côm-bô (1866-1867) có quy mô lớn, gây nhiều tổn thất cho thực dân Pháp. Ông lập căn cứ ở Tây Ninh (Việt Nam) và liên kết với Trương Quyền, trở thành biểu tượng của sự liên minh chiến đấu giữa nhân dân Cam-pu-chia với nhân dân Việt Nam.","[""Cam-pu-chia"", ""Tây Ninh (Việt Nam)""]",[],"[""Khởi nghĩa của Pu-côm-bô"", ""Khởi nghĩa của Pu-côm-bô 1866-1867"", ""Khởi nghĩa của Pu-côm-bô Cam-pu-chia"", ""Khởi nghĩa của Pu-côm-bô Biểu tượng liên minh chiến đấu Việt Nam - Cam-pu-chia Lập căn cứ ở Tây Ninh (Việt Nam)"", ""Khởi nghĩa của Pu-côm-bô ảnh tư liệu"", ""Khởi nghĩa của Pu-côm-bô chân dung""]","[""baotanglichsu.vn"", ""luutru.gov.vn"", ""hochiminh.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""gallica.bnf.fr"", ""loc.gov""]","[""Khởi nghĩa của Pu-côm-bô"", ""Khởi nghĩa của Pu-côm-bô 1866-1867"", ""Khởi nghĩa của Pu-côm-bô Cam-pu-chia"", ""Khởi nghĩa của Pu-côm-bô Biểu tượng liên minh chiến đấu Việt Nam - Cam-pu-chia Lập căn cứ ở Tây Ninh (Việt Nam)"", ""Khởi nghĩa của Pu-côm-bô ảnh tư liệu"", ""Khởi nghĩa của Pu-côm-bô chân dung""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
65,phap-chiem-sau-tinh-nam-ki,Pháp chiếm sáu tỉnh Nam Kì,Năm 1867,"Sau khi tấn công Đà Nẵng, Pháp chuyển quân vào đánh chiếm Gia Định, rồi chiếm gọn sáu tỉnh Nam Kì vào năm 1867.",[],[],"[""Pháp chiếm sáu tỉnh Nam Kì"", ""Pháp chiếm sáu tỉnh Nam Kì Năm 1867"", ""Pháp chiếm sáu tỉnh Nam Kì Việt Nam từ năm 1858 đến năm 1918"", ""Pháp chiếm sáu tỉnh Nam Kì Diễn ra năm 1867 Kết quả: Pháp chiếm đóng hoàn toàn Nam Kì"", ""Pháp chiếm sáu tỉnh Nam Kì ảnh tư liệu"", ""Pháp chiếm sáu tỉnh Nam Kì chân dung""]","[""baotanglichsu.vn"", ""luutru.gov.vn"", ""hochiminh.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""gallica.bnf.fr"", ""loc.gov""]","[""Pháp chiếm sáu tỉnh Nam Kì"", ""Pháp chiếm sáu tỉnh Nam Kì Năm 1867"", ""Pháp chiếm sáu tỉnh Nam Kì Việt Nam từ năm 1858 đến năm 1918"", ""Pháp chiếm sáu tỉnh Nam Kì Diễn ra năm 1867 Kết quả: Pháp chiếm đóng hoàn toàn Nam Kì"", ""Pháp chiếm sáu tỉnh Nam Kì ảnh tư liệu"", ""Pháp chiếm sáu tỉnh Nam Kì chân dung""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
66,vuong-thuc-mau-khoi-nghia-can-vuong,Vương Thúc Mậu khởi nghĩa hưởng ứng Dụ Cần vương,cuối thế kỉ XIX,Vùng đất Nam Đàn (Nghệ An) là nơi lưu nhiều dấu tích lịch sử liên quan đến Vương Thúc Mậu khởi nghĩa hưởng ứng Dụ Cần vương (cuối thế kỉ XIX).,[],[],"[""Vương Thúc Mậu khởi nghĩa hưởng ứng Dụ Cần vương"", ""Vương Thúc Mậu khởi nghĩa hưởng ứng Dụ Cần vương cuối thế kỉ XIX"", ""Vương Thúc Mậu khởi nghĩa hưởng ứng Dụ Cần vương Phong trào Cần Vương"", ""Vương Thúc Mậu khởi nghĩa hưởng ứng Dụ Cần vương Diễn ra ở Nam Đàn (Nghệ An)"", ""Vương Thúc Mậu khởi nghĩa hưởng ứng Dụ Cần vương ảnh tư liệu"", ""Vương Thúc Mậu khởi nghĩa hưởng ứng Dụ Cần vương chân dung""]","[""baotanglichsu.vn"", ""luutru.gov.vn"", ""hochiminh.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""gallica.bnf.fr"", ""loc.gov""]","[""Vương Thúc Mậu khởi nghĩa hưởng ứng Dụ Cần vương"", ""Vương Thúc Mậu khởi nghĩa hưởng ứng Dụ Cần vương cuối thế kỉ XIX"", ""Vương Thúc Mậu khởi nghĩa hưởng ứng Dụ Cần vương Phong trào Cần Vương"", ""Vương Thúc Mậu khởi nghĩa hưởng ứng Dụ Cần vương Diễn ra ở Nam Đàn (Nghệ An)"", ""Vương Thúc Mậu khởi nghĩa hưởng ứng Dụ Cần vương ảnh tư liệu"", ""Vương Thúc Mậu khởi nghĩa hưởng ứng Dụ Cần vương chân dung""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
67,phap-chiem-bac-ki-lan-1,Pháp đánh chiếm Bắc Kì lần thứ nhất,Năm 1873,"Năm 1873, thực dân Pháp đem quân đánh chiếm Bắc Kì lần thứ nhất, triều đình nhà Nguyễn tiếp tục lún sâu vào con đường thoả hiệp.",[],[],"[""Pháp đánh chiếm Bắc Kì lần thứ nhất"", ""Pháp đánh chiếm Bắc Kì lần thứ nhất Năm 1873"", ""Pháp đánh chiếm Bắc Kì lần thứ nhất Việt Nam từ năm 1858 đến năm 1918"", ""Pháp đánh chiếm Bắc Kì lần thứ nhất Kết quả: Triều Nguyễn thoả hiệp Địa điểm: Bắc Kì"", ""Pháp đánh chiếm Bắc Kì lần thứ nhất ảnh tư liệu"", ""Pháp đánh chiếm Bắc Kì lần thứ nhất chân dung""]","[""baotanglichsu.vn"", ""luutru.gov.vn"", ""hochiminh.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""gallica.bnf.fr"", ""loc.gov""]","[""Pháp đánh chiếm Bắc Kì lần thứ nhất"", ""Pháp đánh chiếm Bắc Kì lần thứ nhất Năm 1873"", ""Pháp đánh chiếm Bắc Kì lần thứ nhất Việt Nam từ năm 1858 đến năm 1918"", ""Pháp đánh chiếm Bắc Kì lần thứ nhất Kết quả: Triều Nguyễn thoả hiệp Địa điểm: Bắc Kì"", ""Pháp đánh chiếm Bắc Kì lần thứ nhất ảnh tư liệu"", ""Pháp đánh chiếm Bắc Kì lần thứ nhất chân dung""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
68,phap-chiem-bac-ki-lan-2,Pháp đánh chiếm Bắc Kì lần thứ hai,Năm 1882,"Năm 1882, Pháp lại đưa quân đánh chiếm Bắc Kì lần thứ hai, sau đó quyết định đánh thẳng vào Huế.",[],[],"[""Pháp đánh chiếm Bắc Kì lần thứ hai"", ""Pháp đánh chiếm Bắc Kì lần thứ hai Năm 1882"", ""Pháp đánh chiếm Bắc Kì lần thứ hai Việt Nam từ năm 1858 đến năm 1918"", ""Pháp đánh chiếm Bắc Kì lần thứ hai Địa điểm: Bắc Kì, Huế Mở đường cho việc Pháp đánh chiếm Huế"", ""Pháp đánh chiếm Bắc Kì lần thứ hai ảnh tư liệu"", ""Pháp đánh chiếm Bắc Kì lần thứ hai chân dung""]","[""baotanglichsu.vn"", ""luutru.gov.vn"", ""hochiminh.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""gallica.bnf.fr"", ""loc.gov""]","[""Pháp đánh chiếm Bắc Kì lần thứ hai"", ""Pháp đánh chiếm Bắc Kì lần thứ hai Năm 1882"", ""Pháp đánh chiếm Bắc Kì lần thứ hai Việt Nam từ năm 1858 đến năm 1918"", ""Pháp đánh chiếm Bắc Kì lần thứ hai Địa điểm: Bắc Kì, Huế Mở đường cho việc Pháp đánh chiếm Huế"", ""Pháp đánh chiếm Bắc Kì lần thứ hai ảnh tư liệu"", ""Pháp đánh chiếm Bắc Kì lần thứ hai chân dung""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
69,hiep-uoc-hac-mang,Hiệp ước Hác-măng,Năm 1883,Triều đình nhà Nguyễn kí với Pháp bản Hiệp ước Hác-măng (1883).,[],[],"[""Hiệp ước Hác-măng"", ""Hiệp ước Hác-măng Năm 1883"", ""Hiệp ước Hác-măng Việt Nam từ năm 1858 đến năm 1918"", ""Hiệp ước Hác-măng Các bên kí kết: Triều Nguyễn và Pháp Diễn ra năm 1883"", ""Hiệp ước Hác-măng ảnh tư liệu"", ""Hiệp ước Hác-măng chân dung""]","[""baotanglichsu.vn"", ""luutru.gov.vn"", ""hochiminh.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""gallica.bnf.fr"", ""loc.gov""]","[""Hiệp ước Hác-măng"", ""Hiệp ước Hác-măng Năm 1883"", ""Hiệp ước Hác-măng Việt Nam từ năm 1858 đến năm 1918"", ""Hiệp ước Hác-măng Các bên kí kết: Triều Nguyễn và Pháp Diễn ra năm 1883"", ""Hiệp ước Hác-măng ảnh tư liệu"", ""Hiệp ước Hác-măng chân dung""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
70,hiep-uoc-pa-to-not,Hiệp ước Pa-tơ-nốt,Năm 1884,"Triều đình nhà Nguyễn kí với Pháp bản Hiệp ước Pa-tơ-nốt (1884), đánh dấu sự đầu hàng hoàn toàn của triều đình phong kiến Việt Nam và sự xác lập nền bảo hộ của Pháp trên toàn bộ đất nước ta.",[],[],"[""Hiệp ước Pa-tơ-nốt"", ""Hiệp ước Pa-tơ-nốt Năm 1884"", ""Hiệp ước Pa-tơ-nốt Việt Nam từ năm 1858 đến năm 1918"", ""Hiệp ước Pa-tơ-nốt Nội dung chính: Xác lập nền bảo hộ của Pháp trên toàn Việt Nam Diễn ra năm 1884"", ""Hiệp ước Pa-tơ-nốt ảnh tư liệu"", ""Hiệp ước Pa-tơ-nốt chân dung""]","[""baotanglichsu.vn"", ""luutru.gov.vn"", ""hochiminh.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""gallica.bnf.fr"", ""loc.gov""]","[""Hiệp ước Pa-tơ-nốt"", ""Hiệp ước Pa-tơ-nốt Năm 1884"", ""Hiệp ước Pa-tơ-nốt Việt Nam từ năm 1858 đến năm 1918"", ""Hiệp ước Pa-tơ-nốt Nội dung chính: Xác lập nền bảo hộ của Pháp trên toàn Việt Nam Diễn ra năm 1884"", ""Hiệp ước Pa-tơ-nốt ảnh tư liệu"", ""Hiệp ước Pa-tơ-nốt chân dung""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
71,trung-quoc-tu-choi-boi-thuong-vu-tau-dam-hoang-sa,Trung Quốc từ chối bồi thường vụ tàu đắm ở Hoàng Sa,Năm 1898,"Năm 1898, khi Công ti Bảo hiểm Anh đòi Trung Quốc phải bồi thường việc người dân Hải Nam ""hôi của"" tàu Bê-lô-na của Đức bị đắm vào năm 1894 ở ngoài khơi bãi đá Bắc và tàu U-nô-phi Ma-ru của Nhật Bản đắm năm 1896 cũng ở quần đảo Hoàng Sa. Trung Quốc đã nêu lí do quần đảo Hoàng Sa không thuộc chủ quyền Trung Quốc để dứt khoát từ chối bồi thường.","[""quần đảo Hoàng Sa"", ""bãi đá Bắc"", ""Hải Nam""]",[],"[""Trung Quốc từ chối bồi thường vụ tàu đắm ở Hoàng Sa"", ""Trung Quốc từ chối bồi thường vụ tàu đắm ở Hoàng Sa Năm 1898"", ""Trung Quốc từ chối bồi thường vụ tàu đắm ở Hoàng Sa quần đảo Hoàng Sa"", ""Trung Quốc từ chối bồi thường vụ tàu đắm ở Hoàng Sa Diễn ra năm 1898 Liên quan đến việc bồi thường tàu đắm của Anh, Đức, Nhật"", ""Trung Quốc từ chối bồi thường vụ tàu đắm ở Hoàng Sa bản đồ"", ""Trung Quốc từ chối bồi thường vụ tàu đắm ở Hoàng Sa hải đồ""]","[""mofa.gov.vn"", ""biengioilanhtho.gov.vn"", ""mod.gov.vn"", ""qdnd.vn"", ""chinhphu.vn"", ""vietnamplus.vn"", ""luutru.gov.vn""]","[""Trung Quốc từ chối bồi thường vụ tàu đắm ở Hoàng Sa"", ""Trung Quốc từ chối bồi thường vụ tàu đắm ở Hoàng Sa Năm 1898"", ""Trung Quốc từ chối bồi thường vụ tàu đắm ở Hoàng Sa quần đảo Hoàng Sa"", ""Trung Quốc từ chối bồi thường vụ tàu đắm ở Hoàng Sa Diễn ra năm 1898 Liên quan đến việc bồi thường tàu đắm của Anh, Đức, Nhật"", ""Trung Quốc từ chối bồi thường vụ tàu đắm ở Hoàng Sa bản đồ"", ""Trung Quốc từ chối bồi thường vụ tàu đắm ở Hoàng Sa hải đồ""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
72,phong-trao-dong-du,Phong trào Đông du,Đầu thế kỉ XX,"Phong trào Đông du là một phong trào yêu nước tiêu biểu vào đầu thế kỉ XX với mục đích đưa thanh niên Việt Nam sang Nhật Bản học tập, chuẩn bị lực lượng, chờ thời cơ giành lại độc lập cho nước nhà.","[""Nhật Bản"", ""Việt Nam""]",[],"[""Phong trào Đông du"", ""Phong trào Đông du Đầu thế kỉ XX"", ""Phong trào Đông du Nhật Bản"", ""Phong trào Đông du Đưa thanh niên Việt Nam sang Nhật Bản học tập Do các nhân sĩ yêu nước khởi xướng"", ""Phong trào Đông du ảnh tư liệu"", ""Phong trào Đông du chân dung""]","[""baotanglichsu.vn"", ""luutru.gov.vn"", ""hochiminh.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""gallica.bnf.fr"", ""loc.gov""]","[""Phong trào Đông du"", ""Phong trào Đông du Đầu thế kỉ XX"", ""Phong trào Đông du Nhật Bản"", ""Phong trào Đông du Đưa thanh niên Việt Nam sang Nhật Bản học tập Do các nhân sĩ yêu nước khởi xướng"", ""Phong trào Đông du ảnh tư liệu"", ""Phong trào Đông du chân dung""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
73,hoat-dong-doi-ngoai-phan-boi-chau,Hoạt động đối ngoại của Phan Bội Châu,1905 - 1912,"Hoạt động đối ngoại của Phan Bội Châu diễn ra chủ yếu ở Nhật Bản, Trung Quốc với mục đích tìm kiếm sự giúp đỡ từ bên ngoài để chống thực dân Pháp, giành độc lập dân tộc.","[""Nhật Bản"", ""Nga"", ""Ấn Độ"", ""Đức"", ""Việt Nam"", ""Trung Quốc"", ""Triều Tiên"", ""Quảng Tây"", ""Vân Nam""]",[],"[""Hoạt động đối ngoại của Phan Bội Châu"", ""Hoạt động đối ngoại của Phan Bội Châu 1905 - 1912"", ""Hoạt động đối ngoại của Phan Bội Châu Nhật Bản"", ""Hoạt động đối ngoại của Phan Bội Châu Thành lập Điền – Quế -Việt liên minh và Đông Á đồng minh (1908) Đưa 200 thanh niên sang Nhật học tập (1905)"", ""Hoạt động đối ngoại của Phan Bội Châu ảnh tư liệu"", ""Hoạt động đối ngoại của Phan Bội Châu chân dung""]","[""baotanglichsu.vn"", ""luutru.gov.vn"", ""hochiminh.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""gallica.bnf.fr"", ""loc.gov""]","[""Hoạt động đối ngoại của Phan Bội Châu"", ""Hoạt động đối ngoại của Phan Bội Châu 1905 - 1912"", ""Hoạt động đối ngoại của Phan Bội Châu Nhật Bản"", ""Hoạt động đối ngoại của Phan Bội Châu Thành lập Điền – Quế -Việt liên minh và Đông Á đồng minh (1908) Đưa 200 thanh niên sang Nhật học tập (1905)"", ""Hoạt động đối ngoại của Phan Bội Châu ảnh tư liệu"", ""Hoạt động đối ngoại của Phan Bội Châu chân dung""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
74,phan-boi-chau-sang-nhat-ban-1905,Phan Bội Châu sang Nhật Bản,Đầu năm 1905,"Đầu năm 1905, Phan Bội Châu sang Nhật Bản nhờ giúp đỡ về khí giới, đào tạo nhân lực cho công cuộc cứu nước,... Ông đưa 200 thanh niên Việt Nam sang học tập ở các trường tư thục khác nhau.","[""Nhật Bản"", ""Việt Nam""]",[],"[""Phan Bội Châu sang Nhật Bản"", ""Phan Bội Châu sang Nhật Bản Đầu năm 1905"", ""Phan Bội Châu sang Nhật Bản Nhật Bản"", ""Phan Bội Châu sang Nhật Bản Đưa 200 thanh niên Việt Nam sang học tập Mục đích: tìm kiếm giúp đỡ về khí giới, đào tạo nhân lực"", ""Phan Bội Châu sang Nhật Bản ảnh tư liệu"", ""Phan Bội Châu sang Nhật Bản chân dung""]","[""baotanglichsu.vn"", ""luutru.gov.vn"", ""hochiminh.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""gallica.bnf.fr"", ""loc.gov""]","[""Phan Bội Châu sang Nhật Bản"", ""Phan Bội Châu sang Nhật Bản Đầu năm 1905"", ""Phan Bội Châu sang Nhật Bản Nhật Bản"", ""Phan Bội Châu sang Nhật Bản Đưa 200 thanh niên Việt Nam sang học tập Mục đích: tìm kiếm giúp đỡ về khí giới, đào tạo nhân lực"", ""Phan Bội Châu sang Nhật Bản ảnh tư liệu"", ""Phan Bội Châu sang Nhật Bản chân dung""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
75,nguyen-tat-thanh-tham-gia-chong-thue-hue,Nguyễn Tất Thành tham gia phong trào chống thuế ở Huế,Năm 1908,"Sớm có tinh thần yêu nước, năm 1908, Nguyễn Tất Thành tham gia phong trào chống thuế ở Huế.",[],[],"[""Nguyễn Tất Thành tham gia phong trào chống thuế ở Huế"", ""Nguyễn Tất Thành tham gia phong trào chống thuế ở Huế Năm 1908"", ""Nguyễn Tất Thành tham gia phong trào chống thuế ở Huế Việt Nam từ năm 1858 đến năm 1918"", ""Nguyễn Tất Thành tham gia phong trào chống thuế ở Huế Tham gia phong trào chống thuế"", ""Nguyễn Tất Thành tham gia phong trào chống thuế ở Huế ảnh tư liệu"", ""Nguyễn Tất Thành tham gia phong trào chống thuế ở Huế chân dung""]","[""baotanglichsu.vn"", ""luutru.gov.vn"", ""hochiminh.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""gallica.bnf.fr"", ""loc.gov""]","[""Nguyễn Tất Thành tham gia phong trào chống thuế ở Huế"", ""Nguyễn Tất Thành tham gia phong trào chống thuế ở Huế Năm 1908"", ""Nguyễn Tất Thành tham gia phong trào chống thuế ở Huế Việt Nam từ năm 1858 đến năm 1918"", ""Nguyễn Tất Thành tham gia phong trào chống thuế ở Huế Tham gia phong trào chống thuế"", ""Nguyễn Tất Thành tham gia phong trào chống thuế ở Huế ảnh tư liệu"", ""Nguyễn Tất Thành tham gia phong trào chống thuế ở Huế chân dung""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
76,thanh-lap-lien-minh-dong-a-1908,Thành lập Điền – Quế -Việt liên minh và Đông Á đồng minh,Năm 1908,"Năm 1908, Phan Bội Châu tham gia thành lập các tổ chức có mục tiêu đoàn kết quốc tế như: Điền – Quế -Việt liên minh (liên minh giữa Vân Nam, Quảng Tây với Việt Nam) và Đông Á đồng minh (gồm một số người Nhật Bản, Trung Quốc, Triều Tiên, Ấn Độ,...) để hợp sức chống đế quốc.","[""Nhật Bản"", ""Ấn Độ"", ""Việt Nam"", ""Trung Quốc"", ""Triều Tiên"", ""Quảng Tây"", ""Vân Nam""]",[],"[""Thành lập Điền – Quế -Việt liên minh và Đông Á đồng minh"", ""Thành lập Điền – Quế -Việt liên minh và Đông Á đồng minh Năm 1908"", ""Thành lập Điền – Quế -Việt liên minh và Đông Á đồng minh Nhật Bản"", ""Thành lập Điền – Quế -Việt liên minh và Đông Á đồng minh Thành lập Điền – Quế -Việt liên minh Thành lập Đông Á đồng minh"", ""Thành lập Điền – Quế -Việt liên minh và Đông Á đồng minh ảnh tư liệu"", ""Thành lập Điền – Quế -Việt liên minh và Đông Á đồng minh chân dung""]","[""baotanglichsu.vn"", ""luutru.gov.vn"", ""hochiminh.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""gallica.bnf.fr"", ""loc.gov""]","[""Thành lập Điền – Quế -Việt liên minh và Đông Á đồng minh"", ""Thành lập Điền – Quế -Việt liên minh và Đông Á đồng minh Năm 1908"", ""Thành lập Điền – Quế -Việt liên minh và Đông Á đồng minh Nhật Bản"", ""Thành lập Điền – Quế -Việt liên minh và Đông Á đồng minh Thành lập Điền – Quế -Việt liên minh Thành lập Đông Á đồng minh"", ""Thành lập Điền – Quế -Việt liên minh và Đông Á đồng minh ảnh tư liệu"", ""Thành lập Điền – Quế -Việt liên minh và Đông Á đồng minh chân dung""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
77,nguyen-tat-thanh-roi-phan-thiet-vao-sai-gon,Nguyễn Tất Thành rời Phan Thiết vào Sài Gòn,Tháng 2-1911,"Tháng 2-1911, Nguyễn Tất Thành rời Phan Thiết vào Sài Gòn, mang theo hoài bão ra nước ngoài, xem thế giới làm như thế nào rồi trở về giúp đồng bào.",[],[],"[""Nguyễn Tất Thành rời Phan Thiết vào Sài Gòn"", ""Nguyễn Tất Thành rời Phan Thiết vào Sài Gòn Tháng 2-1911"", ""Nguyễn Tất Thành rời Phan Thiết vào Sài Gòn Việt Nam từ năm 1858 đến năm 1918"", ""Nguyễn Tất Thành rời Phan Thiết vào Sài Gòn Rời Phan Thiết Đến Sài Gòn"", ""Nguyễn Tất Thành rời Phan Thiết vào Sài Gòn ảnh tư liệu"", ""Nguyễn Tất Thành rời Phan Thiết vào Sài Gòn chân dung""]","[""baotanglichsu.vn"", ""luutru.gov.vn"", ""hochiminh.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""gallica.bnf.fr"", ""loc.gov""]","[""Nguyễn Tất Thành rời Phan Thiết vào Sài Gòn"", ""Nguyễn Tất Thành rời Phan Thiết vào Sài Gòn Tháng 2-1911"", ""Nguyễn Tất Thành rời Phan Thiết vào Sài Gòn Việt Nam từ năm 1858 đến năm 1918"", ""Nguyễn Tất Thành rời Phan Thiết vào Sài Gòn Rời Phan Thiết Đến Sài Gòn"", ""Nguyễn Tất Thành rời Phan Thiết vào Sài Gòn ảnh tư liệu"", ""Nguyễn Tất Thành rời Phan Thiết vào Sài Gòn chân dung""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
78,nguyen-tat-thanh-ra-di-tim-duong-cuu-nuoc,Nguyễn Tất Thành ra đi tìm đường cứu nước,5-6-1911,"Sau một thời gian tìm hiểu, ngày 5-6-1911, Nguyễn Tất Thành (với tên gọi mới là Văn Ba) đã rời Bến Nhà Rồng trên con tàu La-tu-sơ Tơ-rê-vin, bắt đầu hành trình tìm đường cứu nước.",[],[],"[""Nguyễn Tất Thành ra đi tìm đường cứu nước"", ""Nguyễn Tất Thành ra đi tìm đường cứu nước 5-6-1911"", ""Nguyễn Tất Thành ra đi tìm đường cứu nước Việt Nam từ năm 1858 đến năm 1918"", ""Nguyễn Tất Thành ra đi tìm đường cứu nước Rời Bến Nhà Rồng Tên gọi: Văn Ba"", ""Nguyễn Tất Thành ra đi tìm đường cứu nước ảnh tư liệu"", ""Nguyễn Tất Thành ra đi tìm đường cứu nước chân dung""]","[""baotanglichsu.vn"", ""luutru.gov.vn"", ""hochiminh.vn"", ""nhandan.vn"", ""qdnd.vn"", ""vietnamplus.vn"", ""gallica.bnf.fr"", ""loc.gov""]","[""Nguyễn Tất Thành ra đi tìm đường cứu nước"", ""Nguyễn Tất Thành ra đi tìm đường cứu nước 5-6-1911"", ""Nguyễn Tất Thành ra đi tìm đường cứu nước Việt Nam từ năm 1858 đến năm 1918"", ""Nguyễn Tất Thành ra đi tìm đường cứu nước Rời Bến Nhà Rồng Tên gọi: Văn Ba"", ""Nguyễn Tất Thành ra đi tìm đường cứu nước ảnh tư liệu"", ""Nguyễn Tất Thành ra đi tìm đường cứu nước chân dung""]",not_attempted,[],,,Needs manual trusted-source/image search.,False
